country,mean.words.in.sentence,number.of.tales
Американские,11.2,84
Корейские,9.5,93
Русские,10.8,581
Мадагаскарские,11.3,15
Боснийские,10.9,21
Танзанийские,11.3,3
Нивхские,7.4,14
Йеменские,13.1,1
Сербские,10.7,31
Ительменские,9.0,6
Юкагирские,6.6,9
Корякские,7.7,26
Кабардинские,8.1,7
Айнские,7.2,5
Керекские,5.9,9
Долганские,9.6,11
Чеченские,10.5,9
Удэгейские,7.7,23
Арабские,11.7,20
Кумыкские,10.8,7
Мордовские,9.6,5
Селькупские,7.7,10
Непальские,11.7,8
Исландские,13.0,49
Орочские,6.9,7
Швейцарские,13.0,20
Немецкие,11.6,9
Коми-зырянские,9.2,6
Итальянские,9.5,66
Эвенкийские,7.6,53
Таджикские,11.3,121
Цыганские,10.4,66
Балкарские,10.1,2
Литовские,9.9,13
Финские,9.6,11
Словацкие,9.9,57
Азербайджанские,11.0,47
Татарские,9.0,12
Персидские,11.1,10
Хорватские,11.3,18
Английские,11.7,81
Башкирские,10.0,22
Греческие,10.6,9
Эстонские,11.0,11
Бурятские,9.6,44
Орокские,8.4,10
Австралийские,12.1,20
Ирландские,13.5,48
Каракалпакские,7.4,1
Мексиканские,11.8,6
Болгарские,9.6,36
Суданские,8.6,11
Карельские,9.2,32
Ингушские,10.0,20
Ассирийские,10.3,91
Энецкие,6.9,5
Чувашские,10.8,37
Бразильские,14.1,82
Норвежские,11.0,41
Индейские,9.9,25
Саамские,8.9,20
Аварские,9.7,57
Шорские,14.3,7
Испанские,10.5,52
Даргинские,9.6,1
Филиппинские,11.4,16
Нганасанские,6.9,9
Эвенские,7.5,18
Папуасские,14.8,11
Креольские,10.8,18
Македонские,9.9,24
Абхазские,10.6,127
Пакистанские,11.5,17
Лаосские,11.1,7
Вьетнамские,11.3,52
Даосские,11.3,34
Тувинские,8.8,26
Египетские,12.1,9
Иранские,12.0,15
Тофаларские,9.5,30
Тайские,10.8,4
Мансийские,7.1,11
Дунганские,10.3,5
Шведские,9.9,17
Бушменские,11.9,17
Португальские,10.3,10
Латышские,9.8,129
Кубинские,10.2,26
Курдские,10.4,1
Бирманские,10.5,121
Эфиопские,8.8,19
Эганасанские,9.0,1
Кхмерские,9.0,9
Саларские,9.0,1
Мавриканские,11.8,2
Ненецкие,7.4,15
Турецкие,11.1,18
Баскские,10.3,14
Ульчские,9.0,8
Вепские,8.1,1
Лакские,8.3,13
Афганские,9.8,117
Албанские,9.9,22
Африканские,9.6,117
Лезгинские,9.9,1
Якутские,10.3,32
Осетинские,11.6,28
Индийские,10.0,134
Индонезийские,11.3,55
Удмуртские,10.8,3
Алеутские,6.5,3
Сирийские,13.8,1
Украинские,9.7,28
Уйгурские,8.7,5
Эскимосские,9.3,39
Алтайские,8.1,39
Казахские,9.7,35
Тибетские,10.4,7
Негидальские,8.0,9
Абазинские,9.5,6
Белорусские,9.5,77
Нидерландские,8.0,1
Венгерские,11.9,30
Камбоджийские,9.1,11
Ангольские,9.7,32
Монгольские,10.2,27
Китайские,11.2,34
Узбекские,9.6,28
Хантыйские,8.1,9
Хакасские,8.8,12
Французские,10.0,26
Каталонские,10.9,4
Австрийские,8.6,4
Шотландские,12.3,47
Ногайские,10.9,1
Карачаевские,9.5,31
Польские,9.9,20
Армянские,9.7,151
Кампучийские,9.4,1
Беломорские,11.6,11
Черкесские,10.6,8
Чукотские,8.1,20
Молдавские,11.7,21
Датские,10.0,21
Черногорские,10.7,5
Чешские,9.8,22
Океанийские,9.5,12
Грузинские,9.1,45
Туркменские,11.7,3
Словенские,11.3,19
Еврейские,11.0,19
Нанайские,8.2,32
Адыгейские,12.2,67
Крымские,8.3,1
Калмыцкие,9.2,21
Зулусские,9.8,1
Кетские,8.3,21
Японские,8.9,108
Румынские,11.5,9
Марийские,8.4,14
Гагаузские,7.4,2
